Overall,Social,Economic,Random ID,BFI_extraversion,BFI_agreeableness,BFI_conscientiousness,BFI_emot_stability,BFI_openness,TIPI_extraversion,TIPI_agreeableness,TIPI_conscientiousness,TIPI_emot_stability,TIPI_openness,BFI10_1,BFI10_2,BFI10_3,BFI10_4,BFI10_5,BFI10_6,BFI10_7,BFI10_8,BFI10_9,BFI10_10,TIPI_1,TIPI_2,TIPI_3,TIPI_4,TIPI_5,TIPI_6,TIPI_7,TIPI_8,TIPI_9,TIPI_10
2,1,2,54432,5,3,4,4,5,5.5,6.5,4.5,6.5,5.5,5,4,4,4,5,5,2,4,4,5,6,7,6,6,5,5,6,3,7,6
3,1,3,88023,3.5,3.5,2,2,2.5,6,5,6,3,4,3,4,2,2,1,4,3,2,2,4,6,5,6,3,5,6,5,6,3,3
1,1,1,46747,3.5,3.5,4,2,3,4.5,4.5,5,5.5,5,4,4,4,2,3,3,3,4,2,3,4,4,5,5,5,5,5,5,6,5
2,1,3,37492,2,4,3.5,3.5,2.5,2.5,6.5,6,6.5,6,2,4,2,5,2,2,4,5,2,3,2,6,7,6,7,3,7,5,7,5
2,1,2,11422,5,4,3.5,2,4.5,6.5,4,6,2,4.5,5,4,3,2,5,5,4,4,2,4,7,3,6,2,6,6,5,6,2,3
2,2,2,31448,5,3.5,3,1.5,1.5,6,5,6.5,1.5,4,5,5,2,2,1,5,2,4,1,2,6,3,6,1,5,6,7,7,2,3
2,2,2,57854,3,3.5,4.5,2,4,3,4,5,2.5,4.5,2,5,4,3,4,4,2,5,1,4,3,4,5,3,5,3,4,5,2,4
3,2,3,54483,2,1.5,2.5,4.5,3.5,2,3,5,5.5,2.5,2,2,1,5,2,2,1,4,4,5,3,3,6,5,2,1,3,4,6,3
2,1,2,38669,3.5,3.5,3.5,3,4,5,4.5,5.5,4,5.5,4,4,3,4,4,3,3,4,2,4,5,4,6,4,6,5,5,5,4,5
1,1,1,56283,5,4,4.5,4,4.5,5.5,5.5,5.5,5,6,5,5,4,4,4,5,3,5,4,5,5,4,6,5,6,6,7,5,5,6
