Treated,ClosestParty,strongPARTISAN,ControlScenario_1,ControlScenario_2,ControlScenario_3,TreatmentScenario _1,TreatmentScenario _2,TreatmentScenario _3,RepublicanAffect_1,RepublicanAffect_2,RepublicanAffect_3,RepublicanAffect_4,DemocraticAffect_1,DemocraticAffect_2,DemocraticAffect_3,DemocraticAffect_4,RepublicanIdentity_1,RepublicanIdentity_2,RepublicanIdentity_3,RepublicanIdentity_4,DemocraticIdentity_1,DemocraticIdentity_2,DemocraticIdentity_3,DemocraticIdentity_4,gender,college_stats,year,US,InPartyAffect_1,InPartyAffect_2,InPartyAffect_3,InPartyAffect_4,InPartyAffect_avg,OutPartyAffect_1,OutPartyAffect_2,OutPartyAffect_3,OutPartyAffect_4,OutPartyAffect_avg,InPartyIdentity_1,InPartyIdentity_2,InPartyIdentity_3,InPartyIdentity_4,InPartyIdentity_avg,OutPartyIdentity_1,OutPartyIdentity_2,OutPartyIdentity_3,OutPartyIdentity_4,OutPartyIdentity_avg,AffectDiff_1,AffectDiff_2,AffectDiff_3,AffectDiff_4,AffectDiff_avg,IdentityDiff_1,IdentityDiff_2,IdentityDiff_3,IdentityDiff_4,IdentityDiff_avg
TRUE,the Democratic Party,TRUE,NA,NA,NA,weather - I am new to Massachusetts so I like to talk about weather a lot. I'm always surprised when it's warmed than I'd expected,career-related things (major/education/current job) - I am a sophomore in college and would like to hear about as many career avenues/opportunities as possible,"where they're headed to on this bus ride - good, neutral question to ask. I don't particularly love talking politics with strangers or Republicans, so keeping it current-situation-based and agreeable i preferable",2,4,2,3,5,4,4,5,2,3,2,3,5,5,4,6,Woman,TRUE,2,TRUE,5,4,4,5,4.5,2,4,2,3,2.75,5,5,4,6,5,2,3,2,3,2.5,3,0,2,2,1.75,3,2,2,3,2.5
FALSE,the Democratic Party,FALSE,Lots of trees and forests along the road,Hills and non-flat terrain,"Clear, blue skies",NA,NA,NA,3,3,4,4,5,5,5,4,4,5,3,4,6,6,6,6,Man,TRUE,3,TRUE,5,5,5,4,4.75,3,3,4,4,3.5,6,6,6,6,6,4,5,3,4,4,2,2,1,0,1.25,2,1,3,2,2
TRUE,the Democratic Party,FALSE,NA,NA,NA,where the person is heading/who they will be seeing,what the person does for a living,what the person had for their last meal,4,5,4,5,5,5,5,5,3,4,4,5,6,5,4,5,Woman,TRUE,3,TRUE,5,5,5,5,5,4,5,4,5,4.5,6,5,4,5,5,3,4,4,5,4,1,0,1,0,0.5,3,1,0,0,1
TRUE,the Democratic Party,FALSE,NA,NA,NA,I would talk about where they are going,"I would probably make a comment asking about their stickers, like where they got them. Often times people get stickers from sites like Redbubble and Society6, and I used to run an online store on those platforms, so I feel like that may be something that comes up in conversation.","I might ask what they do for work or study if they are a student. I don't usually talk about politics during small talk--instead, I'd ask them about where they are from, and try to find common ground.",4,3,4,4,5,4,4,4,3,4,4,4,4,4,4,4,Woman,TRUE,3,TRUE,5,4,4,4,4.25,4,3,4,4,3.75,4,4,4,4,4,3,4,4,4,3.75,1,1,0,0,0.5,1,0,0,0,0.25
TRUE,the Republican Party,FALSE,NA,NA,NA,Trump,Biden,Middle East,6,2,1,5,1,7,1,1,1,7,7,2,1,3,7,7,Man,TRUE,2,TRUE,6,2,1,5,3.5,1,7,1,1,2.5,1,7,7,2,4.25,1,3,7,7,4.5,5,-5,0,4,1,0,4,0,-5,-0.25
FALSE,the Republican Party,FALSE,endless low rise strip malls,New England fall - gorgeous colours etc,industrial complexes/ science parks,NA,NA,NA,5,6,5,2,2,2,5,6,3,6,5,3,6,6,2,6,Man,FALSE,3,FALSE,5,6,5,2,4.5,2,2,5,6,3.75,3,6,5,3,4.25,6,6,2,6,5,3,4,0,-4,0.75,-3,0,3,-3,-0.75
FALSE,the Democratic Party,TRUE,Healthy trees,The ocean,Lots of traffic,NA,NA,NA,3,2,2,2,6,5,5,6,3,3,3,4,6,6,3,4,Man,TRUE,3,FALSE,6,5,5,6,5.5,3,2,2,2,2.25,6,6,3,4,4.75,3,3,3,4,3.25,3,3,3,4,3.25,3,3,0,0,1.5
TRUE,the Democratic Party,TRUE,NA,NA,NA,what they are going to do today/where they are going,weather,how long they have been in Boston,3,3,4,3,6,5,4,4,3,3,4,4,5,4,5,5,Man,TRUE,3,FALSE,6,5,4,4,4.75,3,3,4,3,3.25,5,4,5,5,4.75,3,3,4,4,3.5,3,2,0,1,1.5,2,1,1,1,1.25
TRUE,the Democratic Party,TRUE,NA,NA,NA,Weather,Why we/they are travelling,Family,3,2,3,4,4,4,4,4,2,3,3,3,5,5,3,4,Woman,FALSE,2,FALSE,4,4,4,4,4,3,2,3,4,3,5,5,3,4,4.25,2,3,3,3,2.75,1,2,1,0,1,3,2,0,1,1.5
FALSE,the Democratic Party,TRUE,greenery and fields,Blue sky with a few scattered clouds,Trees,NA,NA,NA,3,3,3,3,5,3,5,5,3,3,3,3,5,6,5,6,Woman,FALSE,3,TRUE,5,3,5,5,4.5,3,3,3,3,3,5,6,5,6,5.5,3,3,3,3,3,2,0,2,2,1.5,2,3,2,3,2.5
FALSE,the Democratic Party,FALSE,Rivers,Trees,Birds,NA,NA,NA,2,3,4,3,5,4,4,5,2,3,3,3,5,5,4,5,Woman,TRUE,4,TRUE,5,4,4,5,4.5,2,3,4,3,3,5,5,4,5,4.75,2,3,3,3,2.75,3,1,0,2,1.5,3,2,1,2,2
FALSE,the Democratic Party,TRUE,Trees and valleys,Lakes with clear water,Bikes with people going around,NA,NA,NA,5,3,3,4,5,5,4,5,4,5,5,5,5,5,3,5,Man,TRUE,3,FALSE,5,5,4,5,4.75,5,3,3,4,3.75,5,5,3,5,4.5,4,5,5,5,4.75,0,2,1,1,1,1,0,-2,0,-0.25
TRUE,the Democratic Party,FALSE,NA,NA,NA,"We talk about where this person is traveling to and they say that they are visiting their family members, who live an hour out from the Greater Boston area. This person is a college student.","The person tells me they are involved with some political groups on their school campus, hence the sticker on their laptop. They enjoy working on campaigns and being involved with student government.","This person tells me that Covid hasn't had a huge impact on academic life this semester, compared to the mask mandates and testing we have at my school. It's pretty out of sight, out of mind and not much of a concern for them and their friends.",1,4,2,2,3,3,3,3,2,4,2,3,2,4,3,4,Man,TRUE,3,TRUE,3,3,3,3,3,1,4,2,2,2.25,2,4,3,4,3.25,2,4,2,3,2.75,2,-1,1,1,0.75,0,0,1,1,0.5
TRUE,the Republican Party,TRUE,NA,NA,NA,Environmental issues,"current events, with a bias towards liberal or democratic views",Donald Trump,5,2,5,6,1,5,2,3,4,4,3,4,2,5,2,4,Woman,TRUE,2,TRUE,5,2,5,6,4.5,1,5,2,3,2.75,4,4,3,4,3.75,2,5,2,4,3.25,4,-3,3,3,1.75,2,-1,1,0,0.5
TRUE,the Democratic Party,FALSE,NA,NA,NA,Purpose of travel,Where are we from?,Family,2,6,3,3,6,3,4,6,2,5,6,5,5,5,3,6,Man,TRUE,3,TRUE,6,3,4,6,4.75,2,6,3,3,3.5,5,5,3,6,4.75,2,5,6,5,4.5,4,-3,1,3,1.25,3,0,-3,1,0.25
FALSE,the Democratic Party,TRUE,River,Trees,Skyscrapers,NA,NA,NA,4,4,4,5,6,6,6,6,3,4,3,5,4,5,4,6,Man,TRUE,2,FALSE,6,6,6,6,6,4,4,4,5,4.25,4,5,4,6,4.75,3,4,3,5,3.75,2,2,2,1,1.75,1,1,1,1,1
TRUE,the Democratic Party,TRUE,NA,NA,NA,Voting rights,Immigration,Healthcare,1,1,1,1,7,7,7,7,2,3,1,3,7,6,6,6,Man,TRUE,1,TRUE,7,7,7,7,7,1,1,1,1,1,7,6,6,6,6.25,2,3,1,3,2.25,6,6,6,6,6,5,3,5,3,4
TRUE,the Democratic Party,TRUE,NA,NA,NA,"Their background, where they're from, what they study/work on, etc.",Where they are going/what they plan to do,If we have any shared interests (i.e. sports),2,3,3,2,5,5,5,4,1,5,2,4,3,5,2,5,Man,TRUE,3,TRUE,5,5,5,4,4.75,2,3,3,2,2.5,3,5,2,5,3.75,1,5,2,4,3,3,2,2,2,2.25,2,0,0,1,0.75
TRUE,the Democratic Party,TRUE,NA,NA,NA,Their hometown community/family,Their biggest policy preferences (not general attitudes or political opinions),Their favorite republican politician and why they like them,2,4,3,2,5,5,5,5,2,3,3,3,5,4,4,5,Man,TRUE,2,TRUE,5,5,5,5,5,2,4,3,2,2.75,5,4,4,5,4.5,2,3,3,3,2.75,3,1,2,3,2.25,3,1,1,2,1.75
FALSE,the Democratic Party,TRUE,trees/landscapes,"buildings, mostly tall","people
people",NA,NA,NA,3,3,3,3,6,6,6,6,3,5,3,5,6,6,5,6,Woman,TRUE,1,TRUE,6,6,6,6,6,3,3,3,3,3,6,6,5,6,5.75,3,5,3,5,4,3,3,3,3,3,3,1,2,1,1.75
